Nation,Region,City,ClubName,Prestige
AUS,South Australia,Adelaide,Clovercrest,2
AUS,South Australia,Adelaide,Tea Tree Gully,2
AUS,South Australia,Adelaide,Burnside,2
AUS,South Australia,Adelaide,Kent Town,2
AUS,South Australia,Adelaide,Southern Performance,2
AUS,ACT,Canberra,Ginninderra,4
AUS,ACT,Canberra,Tuggeranong Vikings,3
AUS,ACT,Canberra,Canberra ASC,3
AUS,ACT,Canberra,Cruiz Swim Club,2
AUS,ACT,Canberra,Telopea,2
AUS,Tasmania,Hobart,Hobart Aquatic,3
AUS,Tasmania,Hobart,South Esk,3
AUS,Tasmania,Launceston,Launceston Aquatic,2
AUS,Tasmania,Devonport,Devonport Swim,2
AUS,Northern Territory,Darwin,Darwin Swimming,2
GBR,East Midlands,Loughborough,Loughborough University,5
GBR,East Midlands,Loughborough,Loughborough Town,3
GBR,East Midlands,Nottingham,Nova Centurion,4
GBR,East Midlands,Nottingham,Nottingham Leander,3
GBR,East Midlands,Derby,City of Derby,4
GBR,East Midlands,Derby,Derby Excel,2
GBR,East Midlands,Leicester,City of Leicester,3
GBR,East Midlands,Lincoln,Lincoln Vulcans,2
GBR,South West,Bath,Bath National Centre,5
GBR,South West,Bath,Team Bath AS,4
GBR,South West,Plymouth,Plymouth Leander,5
GBR,South West,Plymouth,Mount Kelly,4
GBR,South West,Somerset,Millfield,4
GBR,South West,Bristol,City of Bristol,3
GBR,South West,Bournemouth,Swim Bournemouth,3
GBR,South West,Poole,Poole Swimming Club,2
GBR,North West,Manchester,City of Manchester,5
GBR,North West,Manchester,Stockport Metro,4
GBR,North West,Liverpool,City of Liverpool,4
GBR,North West,Liverpool,Wirral Metro,3
GBR,North West,Preston,Preston Swimming,3
GBR,North West,Southport,Southport Swim,3
GBR,North West,Bolton,Bolton Metro,2
GBR,North West,Wigan,Wigan Best,2
GBR,Yorkshire,Sheffield,City of Sheffield,5
GBR,Yorkshire,Leeds,City of Leeds,5
GBR,Yorkshire,Leeds,Borough of Kirklees,3
GBR,Yorkshire,York,York City Baths,3
GBR,Yorkshire,Doncaster,Doncaster Dartes,3
GBR,Yorkshire,Hull,Kingston Upon Hull,2
GBR,Yorkshire,Rotherham,Rotherham Metro,2
GBR,Yorkshire,Harrogate,Harrogate District,2
GBR,London,London,London Aquatics,4
GBR,London,London,Chelsea & Westminster,4
GBR,London,London,Ealing Swimming,4
GBR,London,London,Camden Swiss Cottage,3
GBR,London,London,Bromley Swimming,3
GBR,London,London,Hillingdon,3
GBR,London,London,Anaconda,2
GBR,London,London,Dulwich Dolphins,2
GBR,South East,Wycombe,Wycombe District,4
GBR,South East,Guildford,Guildford City,4
GBR,South East,Portsmouth,Portsmouth Northsea,4
GBR,South East,Winchester,Winchester City,3
GBR,South East,Oxford,City of Oxford,3
GBR,South East,Reading,Reading Swimming,3
GBR,South East,Milton Keynes,Milton Keynes,2
GBR,South East,Bracknell,Bracknell & Wokingham,2
GBR,West Midlands,Birmingham,City of Birmingham,4
GBR,West Midlands,Coventry,City of Coventry,4
GBR,West Midlands,Wolverhampton,Royal Wolverhampton,3
GBR,West Midlands,Worcester,Worcester Swimming,3
GBR,West Midlands,Leamington,Leamington Spa,2
GBR,West Midlands,Stratford,Stratford Sharks,2
GBR,East,Cambridge,City of Cambridge,3
GBR,East,Peterborough,City of Peterborough,3
GBR,East,Norwich,City of Norwich,3
GBR,East,Ipswich,Teamipswich,2
GBR,East,Hatfield,Hatfield Swimming,3
GBR,East,St Albans,St Albans City,2
GBR,Scotland,Stirling,University of Stirling,5
GBR,Scotland,Edinburgh,Edinburgh University,5
GBR,Scotland,Edinburgh,Warrender Baths,4
GBR,Scotland,Glasgow,City of Glasgow,4
GBR,Scotland,Aberdeen,Aberdeen Performance,3
GBR,Scotland,Dundee,Dundee City Aquatics,3
GBR,Scotland,Perth,Perth City,2
GBR,Scotland,Inverness,Inverness Swim,2
GBR,Wales,Swansea,Swansea University,5
GBR,Wales,Swansea,City of Swansea,4
GBR,Wales,Cardiff,City of Cardiff,4
GBR,Wales,Newport,City of Newport,3
GBR,Wales,Carmarthen,Carmarthen,2
GBR,Wales,Wrexham,Wrexham Swimming,2
GBR,Northern Ireland,Belfast,Bangor Swimming,3
GBR,Northern Ireland,Belfast,Lisburn City,3
GBR,Northern Ireland,Belfast,Ards Swimming,2
GBR,Northern Ireland,Derry,City of Derry,2
FRA,Provence-Alpes-Côte d'Azur,Marseille,Cercle des Nageurs de Marseille,5
FRA,Provence-Alpes-Côte d'Azur,Nice,Olympic Nice Natation,5
FRA,Provence-Alpes-Côte d'Azur,Antibes,Cercle des Nageurs d'Antibes,4
FRA,Provence-Alpes-Côte d'Azur,Marseille,Pays d'Aix Natation,3
FRA,Provence-Alpes-Côte d'Azur,Toulon,Toulon Var Natation,3
FRA,Provence-Alpes-Côte d'Azur,Cannes,Cercle des Nageurs de Cannes,3
FRA,Provence-Alpes-Côte d'Azur,Avignon,Avignon Le Pontet,2
FRA,Provence-Alpes-Côte d'Azur,Aix-en-Provence,Aix-en-Provence Natation,2
FRA,Provence-Alpes-Côte d'Azur,Menton,Menton Natation,2
FRA,Provence-Alpes-Côte d'Azur,Hyères,Hyères Natation,2
FRA,Occitanie,Toulouse,Dauphins du TOEC,5
FRA,Occitanie,Montpellier,Montpellier Métropole Natation,4
FRA,Occitanie,Toulouse,ASPTT Toulouse,3
FRA,Occitanie,Nîmes,Nîmes Nautic Club,3
FRA,Occitanie,Perpignan,Canet 66 Natation,3
FRA,Occitanie,Narbonne,Narbonne Méditerranée,2
FRA,Occitanie,Béziers,Béziers Natation,2
FRA,Occitanie,Montauban,Montauban Natation,2
FRA,Occitanie,Albi,Albi Sports Natation,2
FRA,Occitanie,Tarbes,Tarbes Nautic,2
FRA,Île-de-France,Paris,INSEP,5
FRA,Île-de-France,Paris,Racing Club de France,4
FRA,Île-de-France,Paris,Stade Français,4
FRA,Île-de-France,Melun,Cercle des Nageurs de Melun,4
FRA,Île-de-France,Clichy,CS Clichy 92,4
FRA,Île-de-France,Paris,Neptune Club de France,3
FRA,Île-de-France,Sarcelles,AAS Sarcelles Natation 95,3
FRA,Île-de-France,Massy,ES Massy Natation,3
FRA,Île-de-France,Créteil,US Créteil Natation,3
FRA,Île-de-France,Boulogne-Billancourt,AC Boulogne-Billancourt,2
FRA,Île-de-France,Versailles,SN Versailles,2
FRA,Île-de-France,Saint-Germain,CNO Saint-Germain,2
FRA,Île-de-France,Nanterre,ES Nanterre,2
FRA,Île-de-France,Montreuil,CA Montreuil,2
FRA,Auvergne-Rhône-Alpes,Lyon,Lyon Natation Métropole,4
FRA,Auvergne-Rhône-Alpes,Grenoble,Grenoble Alp'38,4
FRA,Auvergne-Rhône-Alpes,Annecy,Annecy Natation,3
FRA,Auvergne-Rhône-Alpes,Saint-Étienne,Saint-Étienne Natation,3
FRA,Auvergne-Rhône-Alpes,Chambéry,Chambéry Cyclones,3
FRA,Auvergne-Rhône-Alpes,Clermont-Ferrand,Stade Clermontois,3
FRA,Auvergne-Rhône-Alpes,Valence,Enfants du Rhône Valence,2
FRA,Auvergne-Rhône-Alpes,Vichy,Vichy Val d'Allier,2
FRA,Auvergne-Rhône-Alpes,Bourg-en-Bresse,Bourg-en-Bresse Natation,2
FRA,Auvergne-Rhône-Alpes,Roanne,Roanne Natation,2
FRA,Hauts-de-France,Amiens,Amiens Métropole Natation,5
FRA,Hauts-de-France,Lille,Lille Métropole Natation,4
FRA,Hauts-de-France,Dunkerque,Dunkerque Natation,3
FRA,Hauts-de-France,Roubaix,Roubaix Natation,3
FRA,Hauts-de-France,Tourcoing,Tourcoing Enfants,2
FRA,Hauts-de-France,Calais,Calais Natation,2
FRA,Hauts-de-France,Arras,RCA Natation,2
FRA,Hauts-de-France,Compiègne,Compiègne Natation,2
FRA,Nouvelle-Aquitaine,Bordeaux,Girondins de Bordeaux,4
FRA,Nouvelle-Aquitaine,Limoges,ASPTT Limoges,3
FRA,Nouvelle-Aquitaine,Poitiers,Stade Poitevin,3
FRA,Nouvelle-Aquitaine,Pau,Pau Natation,3
FRA,Nouvelle-Aquitaine,La Rochelle,La Rochelle Canards,2
FRA,Nouvelle-Aquitaine,Bayonne,Aviron Bayonnais Natation,2
FRA,Nouvelle-Aquitaine,Brive,Brive Corrèze,2
FRA,Nouvelle-Aquitaine,Niort,Niort Natation,2
FRA,Grand Est,Strasbourg,Team Strasbourg,4
FRA,Grand Est,Mulhouse,Mulhouse Olympic Natation,4
FRA,Grand Est,Metz,Metz Métropole Natation,3
FRA,Grand Est,Nancy,Nancy ASPTT,3
FRA,Grand Est,Reims,Stade de Reims Natation,3
FRA,Grand Est,Troyes,Troyes Omnisports,2
FRA,Grand Est,Charleville-Mézières,Charleville-Mézières Natation,2
FRA,Grand Est,Colmar,Colmar Natation,2
FRA,Bretagne,Brest,Brest Bretagne Natation,4
FRA,Bretagne,Rennes,Cercle Paul Bert Rennes,4
FRA,Bretagne,Saint-Brieuc,Saint-Brieuc Natation,3
FRA,Bretagne,Lorient,Lorient Natation,2
FRA,Pays de la Loire,Nantes,Nantes Natation,4
FRA,Pays de la Loire,Angers,Angers Natation,3
FRA,Pays de la Loire,Le Mans,Le Mans Club,2
FRA,Normandie,Rouen,Vikings de Rouen,3
FRA,Normandie,Caen,Entente Nautique Caennaise,3
FRA,Normandie,Le Havre,Club Nautique Havrais,2
GER,Berlin,Berlin,Wasserfreunde Spandau 04,5
GER,Berlin,Berlin,SG Neukölln Berlin,5
GER,Berlin,Berlin,Berliner TSC,4
GER,Berlin,Berlin,Wasserfreunde Spandau,4
GER,Berlin,Berlin,SSC Berlin-Reinickendorf,3
GER,Berlin,Berlin,BSV Medizin Marzahn,3
GER,Berlin,Berlin,Zehlendorfer TSV,3
GER,Berlin,Berlin,SG Schöneberg Berlin,2
GER,Berlin,Berlin,Aqua Berlin,2
GER,Berlin,Berlin,KSV Neptun Berlin,2
GER,Nordrhein-Westfalen,Essen,SG Essen,5
GER,Nordrhein-Westfalen,Wuppertal,SG Bayer,5
GER,Nordrhein-Westfalen,Dortmund,SG Dortmund,4
GER,Nordrhein-Westfalen,Köln,TPSK 1925,4
GER,Nordrhein-Westfalen,Gladbeck,VfL Gladbeck,4
GER,Nordrhein-Westfalen,Gelsenkirchen,SG Gelsenkirchen,3
GER,Nordrhein-Westfalen,Bochum,Blau-Weiß Bochum,3
GER,Nordrhein-Westfalen,Neuss,Neusser SV,3
GER,Nordrhein-Westfalen,Münster,SGS Münster,3
GER,Nordrhein-Westfalen,Bonn,SSF Bonn,3
GER,Nordrhein-Westfalen,Aachen,Aachener SV,2
GER,Nordrhein-Westfalen,Düsseldorf,Düsseldorfer SC,2
GER,Nordrhein-Westfalen,Duisburg,Duisburger ST,2
GER,Nordrhein-Westfalen,Bielefeld,Wasserfreunde Bielefeld,2
GER,Nordrhein-Westfalen,Paderborn,Paderborner SV,2
GER,Bayern,München,SG Stadtwerke München,5
GER,Bayern,Würzburg,SV Würzburg 05,5
GER,Bayern,Nürnberg,1. FCN Schwimmen,4
GER,Bayern,Erlangen,TB 1888 Erlangen,4
GER,Bayern,Regensburg,SC Regensburg,3
GER,Bayern,Augsburg,SV Augsburg,3
GER,Bayern,Ingolstadt,SC Delphin Ingolstadt,3
GER,Bayern,München,SC Wasserfreunde München,3
GER,Bayern,Bayreuth,SV Bayreuth,2
GER,Bayern,Bamberg,WSV Bamberg,2
GER,Bayern,München,Münchner SC,2
GER,Bayern,Landshut,SC 53 Landshut,2
GER,Bayern,Kempten,TV Kempten,2
GER,Bayern,Passau,TV Passau,2
GER,Bayern,Rosenheim,TSV Rosenheim,2
GER,Baden-Württemberg,Heidelberg,SV Nikar Heidelberg,5
GER,Baden-Württemberg,Neckarsulm,Neckarsulmer Sport-Union,5
GER,Baden-Württemberg,Sindelfingen,VfL Sindelfingen,4
GER,Baden-Württemberg,Karlsruhe,SGR Karlsruhe,4
GER,Baden-Württemberg,Freiburg,SSV Freiburg,3
GER,Baden-Württemberg,Stuttgart,SV Cannstatt,3
GER,Baden-Württemberg,Mannheim,SV Mannheim,3
GER,Baden-Württemberg,Ulm,SSV Ulm 1846,3
GER,Baden-Württemberg,Reutlingen,SSG Reutlingen/Tübingen,2
GER,Baden-Württemberg,Konstanz,Sparta Konstanz,2
GER,Baden-Württemberg,Heilbronn,SV Heilbronn,2
GER,Baden-Württemberg,Pforzheim,SSV Pforzheim,2
GER,Hessen,Frankfurt,SG Frankfurt,5
GER,Hessen,Wiesbaden,SC Wiesbaden 1911,4
GER,Hessen,Darmstadt,DSW 1912 Darmstadt,4
GER,Hessen,Kassel,Kasseler SV,3
GER,Hessen,Baunatal,KSV Baunatal,3
GER,Hessen,Offenbach,EOSC Offenbach,2
GER,Hessen,Marburg,VfL Marburg,2
GER,Hessen,Gießen,Gießener SV,2
GER,Sachsen,Magdeburg,SC Magdeburg,5
GER,Sachsen,Leipzig,SSG Leipzig,4
GER,Sachsen,Dresden,Dresdner SC,4
GER,Sachsen,Chemnitz,SC Chemnitz 1892,4
GER,Sachsen,Halle,SV Halle,3
GER,Sachsen,Zwickau,SV Zwickau,3
GER,Sachsen,Plauen,SV Plauen,2
GER,Sachsen,Bautzen,MSV Bautzen,2
GER,Hamburg,Hamburg,SGS Hamburg,4
GER,Hamburg,Hamburg,AMTV-FTV Hamburg,3
GER,Hamburg,Hamburg,Hamburger SC,3
GER,Hamburg,Hamburg,AWV 09 Hamburg,2
GER,Hamburg,Hamburg,Bille Hamburg,2
GER,Niedersachsen,Hannover,W98 Hannover,4
GER,Niedersachsen,Osnabrück,VfL Osnabrück,3
GER,Niedersachsen,Braunschweig,SSG Braunschweig,3
GER,Niedersachsen,Göttingen,TWG 1861 Göttingen,2
GER,Niedersachsen,Oldenburg,Oldenburger SV,2
GER,Bremen,Bremen,Bremischer SV,3
GER,Saarland,Saarbrücken,SSG Saar Max Ritter,4
JPN,Tokyo,Tokyo,Tokyo Frog Kings,5
JPN,Tokyo,Tokyo,Nippon Sport Science Univ,5
JPN,Tokyo,Tokyo,Itoman Swim School Tokyo,5
JPN,Tokyo,Tokyo,Waseda University,4
JPN,Tokyo,Tokyo,Meiji University,4
JPN,Tokyo,Tokyo,Central Sports Tokyo,4
JPN,Tokyo,Tokyo,Konami Sports Club Tokyo,4
JPN,Tokyo,Tokyo,Hosei University,3
JPN,Tokyo,Tokyo,Tokyo SC,3
JPN,Tokyo,Tokyo,Nihon University,3
JPN,Tokyo,Tokyo,Renaissance Tokyo,3
JPN,Tokyo,Tokyo,JSS Tokyo,2
JPN,Tokyo,Tokyo,Mitsubishi Yowa,2
JPN,Tokyo,Tokyo,Kokushikan University,2
JPN,Tokyo,Tokyo,Mizuno Swim Team,2
JPN,Kanagawa,Yokohama,Central Sports Yokohama,4
JPN,Kanagawa,Yokohama,Kanagawa University,4
JPN,Kanagawa,Kawasaki,NEC Green Swimming,4
JPN,Kanagawa,Fujisawa,SFC Fujisawa,3
JPN,Kanagawa,Yokohama,Itoman Yokohama,3
JPN,Kanagawa,Sagamihara,Sagamihara SC,3
JPN,Kanagawa,Yokosuka,Yokosuka Swim,2
JPN,Kanagawa,Hiratsuka,Hiratsuka Aquatics,2
JPN,Kanagawa,Kamakura,Kamakura SC,2
JPN,Kanagawa,Yokohama,Konami Yokohama,2
JPN,Osaka,Osaka,Itoman Swim School Osaka,5
JPN,Osaka,Osaka,Kindai University,5
JPN,Osaka,Osaka,Kansai University,4
JPN,Osaka,Osaka,Central Sports Osaka,4
JPN,Osaka,Hirakata,Hirakata SS,3
JPN,Osaka,Osaka,Konami Sports Osaka,3
JPN,Osaka,Sakai,Sakai SC,3
JPN,Osaka,Toyonaka,Toyonaka Aquatics,2
JPN,Osaka,Suita,Suita Swim Club,2
JPN,Osaka,Ibaraki,Ibaraki SC,2
JPN,Aichi,Nagoya,Chukyo University,5
JPN,Aichi,Nagoya,Toyota Scorpions,4
JPN,Aichi,Nagoya,Nagoya SC,4
JPN,Aichi,Toyohashi,Toyohashi SS,3
JPN,Aichi,Okazaki,Okazaki SC,3
JPN,Aichi,Ichinomiya,Ichinomiya Swim,3
JPN,Aichi,Toyota,Toyota SS,2
JPN,Aichi,Nagoya,JSS Nagoya,2
JPN,Aichi,Kasugai,Kasugai Aquatics,2
JPN,Aichi,Anjo,Anjo SC,2
JPN,Saitama,Saitama,Saitama Sakae,4
JPN,Saitama,Kawaguchi,Kawaguchi SC,3
JPN,Saitama,Tokorozawa,Tokorozawa Swim,3
JPN,Saitama,Kawagoe,Kawagoe Aquatics,2
JPN,Saitama,Koshigaya,Koshigaya SS,2
JPN,Chiba,Chiba,Central Sports Chiba,4
JPN,Chiba,Funabashi,Funabashi SC,3
JPN,Chiba,Kashiwa,Kashiwa Swim Club,3
JPN,Chiba,Matsudo,Matsudo Aquatics,2
JPN,Chiba,Ichikawa,Ichikawa SS,2
JPN,Hyogo,Kobe,Kobe SC,4
JPN,Hyogo,Nishinomiya,Nishinomiya SS,3
JPN,Hyogo,Amagasaki,Amagasaki Aquatics,3
JPN,Hyogo,Himeji,Himeji Swim Club,2
JPN,Hyogo,Akashi,Akashi SC,2
JPN,Hokkaido,Sapporo,Sapporo SS,4
JPN,Hokkaido,Sapporo,Hokkaido University,3
JPN,Hokkaido,Asahikawa,Asahikawa SC,3
JPN,Hokkaido,Hakodate,Hakodate Swim,2
JPN,Hokkaido,Kushiro,Kushiro Aquatics,2
JPN,Fukuoka,Fukuoka,Fukuoka University,4
JPN,Fukuoka,Fukuoka,Itoman Fukuoka,3
JPN,Fukuoka,Kitakyushu,Kitakyushu SS,3
JPN,Fukuoka,Kurume,Kurume Aquatics,2
JPN,Fukuoka,Fukuoka,Konami Fukuoka,2
JPN,Kyoto,Kyoto,Doshisha University,4
JPN,Kyoto,Kyoto,Kyoto SC,3
JPN,Kyoto,Kyoto,Ritsumeikan University,3
JPN,Kyoto,Uji,Uji Swim Club,2
JPN,Kyoto,Kyoto,JSS Kyoto,2
JPN,Niigata,Niigata,Niigata University,3
JPN,Niigata,Nagaoka,Nagaoka SC,3
JPN,Hiroshima,Hiroshima,Hiroshima SC,3
JPN,Miyagi,Sendai,Sendai Swim Club,3
JPN,Shizuoka,Hamamatsu,Hamamatsu SC,3
CAN,Ontario,Toronto,HPC Ontario,5
CAN,Ontario,Toronto,Toronto Swim Club,4
CAN,Ontario,Toronto,University of Toronto,4
CAN,Ontario,Markham,Markham Aquatic Club,4
CAN,Ontario,Etobicoke,Etobicoke Swimming,4
CAN,Ontario,London,London Aquatic Club,3
CAN,Ontario,Ottawa,Greater Ottawa Kingfish,3
CAN,Ontario,Mississauga,Mississauga Aquatic,3
CAN,Ontario,Guelph,Guelph Marlin,3
CAN,Ontario,Kitchener,Region of Waterloo,3
CAN,Ontario,Windsor,Windsor Aquatic,2
CAN,Ontario,Hamilton,Hamilton Aquatic,2
CAN,Ontario,Oakville,Oakville Aquatic,2
CAN,Ontario,Nepean,Nepean Kanata Barracudas,2
CAN,Ontario,Sudbury,Sudbury Laurentian,2
CAN,Ontario,Thunder Bay,Thunder Bay Thunderbolts,2
CAN,Ontario,Barrie,Barrie Trojan,2
CAN,Ontario,Brantford,Brantford Aquatic,2
CAN,Ontario,Kingston,Kingston Blue Marlins,2
CAN,Ontario,Whitby,Whitby Dolphins,2
CAN,British Columbia,Vancouver,HPC Vancouver,5
CAN,British Columbia,Vancouver,UBC Thunderbirds,5
CAN,British Columbia,Victoria,Victoria Pacific,4
CAN,British Columbia,Richmond,Richmond Rapids,4
CAN,British Columbia,Kelowna,Kelowna AquaJets,3
CAN,British Columbia,Kamloops,Kamloops Classic,3
CAN,British Columbia,Surrey,Surrey Knights,3
CAN,British Columbia,Coquitlam,Simon Fraser Aquatics,3
CAN,British Columbia,Burnaby,Burnaby Barracudas,2
CAN,British Columbia,Nanaimo,Nanaimo Riptides,2
CAN,British Columbia,Langley,Langley Olympians,2
CAN,British Columbia,Vernon,Vernon Kokanees,2
CAN,British Columbia,Chilliwack,Chilliwack Spartans,2
CAN,British Columbia,Penticton,Penticton KISU,2
CAN,British Columbia,Prince George,Prince George Pisces,2
CAN,Quebec,Montreal,Pointe-Claire Swim Club,5
CAN,Quebec,Montreal,CAMO Natation,4
CAN,Quebec,Montreal,McGill University,4
CAN,Quebec,Quebec City,Rouge et Or,4
CAN,Quebec,Laval,Club de Natation Laval,3
CAN,Quebec,Gatineau,Natation Gatineau,3
CAN,Quebec,Sherbrooke,Sherbrooke Vert et Or,3
CAN,Quebec,Trois-Rivières,Mégophias,2
CAN,Quebec,Saguenay,CN Saguenay,2
CAN,Quebec,Drummondville,Requins de Drummondville,2
CAN,Quebec,Brossard,Brossard Aquatics,2
CAN,Quebec,Levis,Levis Natation,2
CAN,Quebec,Saint-Jérôme,Neptune Natation,2
CAN,Quebec,Granby,Granby Aquatics,2
CAN,Quebec,Boucherville,Boucherville Natation,2
CAN,Alberta,Calgary,Calgary Dinos,4
CAN,Alberta,Calgary,Cascade Swim Club,4
CAN,Alberta,Edmonton,Edmonton Keyano,4
CAN,Alberta,Calgary,UofC Swim Club,3
CAN,Alberta,Edmonton,Olympian Swim Club,3
CAN,Alberta,Lethbridge,Lethbridge Amateur,2
CAN,Alberta,Red Deer,Red Deer Catalina,2
CAN,Manitoba,Winnipeg,Manta Swim Club,3
CAN,Nova Scotia,Halifax,Halifax Trojan,3
CAN,Saskatchewan,Saskatoon,Saskatoon Goldfins,2
HUN,Budapest,Budapest,Iron Swim Budapest,5
HUN,Budapest,Budapest,BVSC-Zugló,5
HUN,Budapest,Budapest,Kőbánya SC,5
HUN,Budapest,Budapest,Ferencvárosi TC,4
HUN,Budapest,Budapest,Újpesti TE,4
HUN,Budapest,Budapest,MTK Budapest,4
HUN,Budapest,Budapest,Vasas SC,4
HUN,Budapest,Budapest,A Jövő SC,3
HUN,Budapest,Budapest,Budafóka XXII. SE,3
HUN,Budapest,Budapest,Római SE,3
HUN,Budapest,Budapest,Darnyi Tamás SC,3
HUN,Budapest,Budapest,BHSE,3
HUN,Budapest,Budapest,Ybl Water Polo,2
HUN,Budapest,Budapest,Egri Úszó Klub Bp,2
HUN,Budapest,Budapest,Hajós Alfréd SE,2
HUN,Budapest,Budapest,Lőrincz 2000 SE,2
HUN,Budapest,Budapest,Pénzügyőr SE,2
HUN,Budapest,Budapest,Rákosmente KSK,2
HUN,Budapest,Budapest,Siklós SE,2
HUN,Budapest,Budapest,Városgazda UA,2
HUN,Győr-Moson-Sopron,Győr,Győri Úszó SE,5
HUN,Győr-Moson-Sopron,Sopron,Soproni ÚBK SE,3
HUN,Győr-Moson-Sopron,Mosonmagyaróvár,Mosonmagyaróvári VSE,2
HUN,Csongrád-Csanád,Szeged,Szegedi Úszó Egylet,4
HUN,Csongrád-Csanád,Hódmezővásárhely,HÓD Úszó SE,4
HUN,Csongrád-Csanád,Szentes,Szentesi Városi,2
HUN,Hajdú-Bihar,Debrecen,Debreceni Sportcentrum,4
HUN,Hajdú-Bihar,Hajdúszoboszló,Árpád SE,2
HUN,Baranya,Pécs,Pécsi Sport Nonprofit,4
HUN,Baranya,Pécs,Pécsi Vörös Meteor,2
HUN,Borsod-Abaúj-Zemplén,Miskolc,Miskolci VSI,3
HUN,Borsod-Abaúj-Zemplén,Tiszaújváros,Tiszaújvárosi VSE,2
HUN,Heves,Eger,Egri Úszó Klub,4
HUN,Heves,Hatvan,Hatvani Úszó Klub,2
HUN,Veszprém,Veszprém,Veszprémi Egyetemi ÚK,3
HUN,Veszprém,Balatonfűzfő,Balaton ÚK Veszprém,3
HUN,Fejér,Székesfehérvár,Hullám 91 ÚE,3
HUN,Fejér,Dunaújváros,Dunaferr SE,3
HUN,Bács-Kiskun,Kecskemét,Bácsvíz KVSC,3
HUN,Bács-Kiskun,Baja,Bajai Spartacus SC,3
HUN,Somogy,Kaposvár,Kaposvári 1. MCM,3
HUN,Somogy,Siófok,Siófoki Úszó SE,2
HUN,Jász-Nagykun-Szolnok,Szolnok,Szolnoki Vizilabda SC,3
HUN,Békés,Békéscsaba,Békéscsaba Előre ÚK,3
HUN,Zala,Zalaegerszeg,Zalaco ZÚK,3
HUN,Zala,Nagykanizsa,Délzalai Vízmű SE,2
HUN,Komárom-Esztergom,Tatabánya,Tatabányai VSE,3
HUN,Komárom-Esztergom,Esztergom,Esztergomi ÚK,2
HUN,Pest,Érd,Érdi Úszó Sport Kft,3
HUN,Pest,Gödöllő,Gödöllői EAC,2
HUN,Pest,Cegléd,Ceglédi VSE,2
HUN,Pest,Vác,Váci Vízmű SE,2
HUN,Tolna,Szekszárd,Szekszárdi Vízmű SE,2
HUN,Nógrád,Salgótarján,Salgótarjáni ÚK,2
HUN,Vas,Szombathely,Szombathelyi VSC,3
HUN,Szabolcs-Szatmár-Bereg,Nyíregyháza,Nyíregyházi Sportcentrum,3
NED,Noord-Brabant,Eindhoven,PSV Eindhoven,5
NED,Noord-Brabant,Breda,SBC2000,3
NED,Noord-Brabant,Tilburg,TRB-RES,3
NED,Noord-Brabant,'s-Hertogenbosch,AquAmigos,2
NED,Noord-Brabant,Oss,Arethusa,2
NED,Noord-Brabant,Roosendaal,Hieronymus,2
NED,Noord-Brabant,Oosterhout,De Warande,2
NED,Noord-Brabant,Veldhoven,Njord,2
NED,Noord-Brabant,Veghel,Nautilus,2
NED,Noord-Brabant,Boxtel,SWNZ,2
NED,Noord-Holland,Amsterdam,HPC Amsterdam,5
NED,Noord-Holland,Amsterdam,De Dolfijn,5
NED,Noord-Holland,Haarlem,ZV Haerlem,3
NED,Noord-Holland,Hoofddorp,ZPCH,3
NED,Noord-Holland,Alkmaar,Daw,3
NED,Noord-Holland,Hilversum,De Otters,2
NED,Noord-Holland,Zaandam,ZV De Zaan,2
NED,Noord-Holland,Purmerend,WZ&PC Purmerend,2
NED,Noord-Holland,Hoorn,Zwemclub Hoorn,2
NED,Noord-Holland,Heemskerk,OEZA,2
NED,Zuid-Holland,The Hague,HPC Den Haag,5
NED,Zuid-Holland,Rotterdam,Rotterdam Swimming,4
NED,Zuid-Holland,The Hague,Blue Marlins,4
NED,Zuid-Holland,Dordrecht,MNC Dordrecht,3
NED,Zuid-Holland,Leiden,ZVL-1886,3
NED,Zuid-Holland,Schiedam,Schiedam Zwemclub,2
NED,Zuid-Holland,Gouda,Widex GZC Donk,2
NED,Zuid-Holland,Delft,d'ELFT,2
NED,Zuid-Holland,Zoetermeer,WVZ,3
NED,Zuid-Holland,Alphen aan den Rijn,AZC,2
NED,Gelderland,Nijmegen,Aqua-Novio'94,4
NED,Gelderland,Arnhem,ESCA Zwemmen,3
NED,Gelderland,Apeldoorn,Aquapoldro,3
NED,Gelderland,Ede,Polar Bears,2
NED,Gelderland,Doetinchem,NDD,2
NED,Gelderland,Wageningen,De Rijn,2
NED,Gelderland,Tiel,Batavia Swim,2
NED,Gelderland,Barneveld,DWK,3
NED,Utrecht,Amersfoort,ZPC Amersfoort,5
NED,Utrecht,Utrecht,Zwemclub Utrecht,3
NED,Utrecht,Veenendaal,VZC,3
NED,Utrecht,Zeist,ZPC Watervlo,2
NED,Utrecht,Nieuwegein,Aquarijn,2
NED,Overijssel,Enschede,EZC,3
NED,Overijssel,Zwolle,Zwemclub Zwolle,3
NED,Overijssel,Deventer,Zwemclub De IJsel,2
NED,Overijssel,Hengelo,WS Twente,2
NED,Overijssel,Almelo,Zwemclub de Veene,2
NED,Flevoland,Almere,De Schotejil,2
NED,Flevoland,Lelystad,Batavia Swim Lelystad,2
NED,Zeeland,Middelburg,Zwemclub Zeeland,3
NED,Zeeland,Vlissingen,Luctor et Emergo,2
NED,Friesland,Leeuwarden,Orca,3
NED,Friesland,Heerenveen,HZ&PC Heerenveen,2
