Nation,Gender,Type,Values
LTU,F,LastName,Kazlauskiene;Jankauskiene;Petrauskiene;Stankeviciene;Vasiliauskiene;Zukauskiene;Butkuviene;Paulauskiene;Urboniene;Kavaliauskiene;Sakalauskiene;Navickiene;Baranauskiene;Zeleniakiene;Adomaitiene;Ramanauskiene;Kairiene;Rimkuviene;Zemaitiene;Zinkeviciene;Balciuniene;Maliauskiene;Pociene;Marcinkeviciene;Grigaliuniene;Alekniene;Saboniene;Valanciuniene;Jasikeviciene;Motiejuniene;Kleiziene;Giedraitiene;Kuzminskiene;Ulanoviene;Jankuniene;Maciuliene;Kalnietiene;Seibutiene;Gudaitiene;Lavrinoviciene
BEL,M,FirstName,Arthur;Liam;Noah;Jules;Louis;Lucas;Victor;Gabriel;Oscar;Leon;Adam;Maxim;Finn;Mathis;Milan;Eden;Hugo;Felix;Simon;Elias;Alexander;Vince;Gaspard;Matteo;Lars;Emile;Stan;Mael;Raphael;Nathan;Oliver;Jack;Julien;David;Thomas;Bram;Ruben;Kobe;Wout;Niels
BEL,F,FirstName,Olivia;Emma;Mila;Louise;Lina;Alice;Sofia;Mia;Juliette;Camille;Elena;Anna;Amelie;Lucie;Chloe;Marie;Eva;Nina;Clara;Julia;Lotte;Marieke;Sarah;Lisa;Elise;Romy;Margaux;Zoe;Lola;Lia;Ella;Manon;Laura;Ines;Maya;Luna;Noa;Celine;Julie;Fien
BEL,A,LastName,Peeters;Janssens;Maes;Jacobs;Mertens;Willems;Claes;Goossens;Wouters;De Smet;Vermeulen;Pauwels;Dubois;Lambert;Dupont;Martin;Simon;Leclercq;Lefevre;Laurent;Smets;Vandamme;Declercq;De Clercq;Desmedt;Cools;Hendrickx;De Jonghe;Verheyen;De Vos;Hermans;Claeys;Goris;Lemmens;Segers;De Vilder;Somers;Thijs;Vandenberghe;Bogaerts
SUI,M,FirstName,Noah;Liam;Luca;Leon;Gabriel;David;Elias;Samuel;Matteo;Julian;Nino;Alexander;Arthur;Louis;Diego;Leandro;Jonas;Maximilian;Nico;Levin;Simon;Ben;Paul;Aaron;Lukas;Rafael;Yannis;Livio;Oliver;Finn;Tim;Noe;Jan;Mika;Dario;Kilian;Marc;Robin;Silvan;Fabian
SUI,F,FirstName,Mia;Emma;Alina;Elena;Laura;Nina;Lara;Sofia;Lea;Anna;Lena;Julia;Sara;Emilia;Mila;Chloe;Alice;Zoe;Lina;Luana;Elina;Amelie;Melanie;Nora;Leonie;Livia;Chiara;Malea;Elin;Sophia;Fiona;Aline;Celine;Olivia;Lisa;Eva;Lilly;Ronja;Valeria;Marina
SUI,A,LastName,Muller;Meier;Schmid;Keller;Weber;Huber;Schneider;Meyer;Steiner;Baumann;Frei;Zimmermann;Moser;Widmer;Wyss;Graf;Roth;Suter;Baumgartner;Bachmann;Studer;Berger;Kaufmann;Brunner;Fuchs;Egger;Buhler;Gerber;Hofmann;Christen;Koch;Marti;Schweizer;Zbinden;Lustenberger;Kunz;Vogel;Eberhard;Hauri
RUS,M,FirstName,Alexander;Alexey;Anatoly;Andrey;Anton;Artem;Boris;Daniil;Denis;Dmitry;Egor;Evgeny;Fedor;Gennady;Georgy;Gleb;Grigory;Igor;Ilya;Ivan;Konstantin;Leonid;Maksim;Mark;Mikhail;Nikita;Nikolay;Oleg;Pavel;Petr;Roman;Ruslan;Semen;Sergey;Stepan;Timur;Vadim;Vasily;Vladimir;Yaroslav
RUS,F,FirstName,Anastasia;Anna;Maria;Elena;Daria;Alina;Ekaterina;Polina;Natalia;Olga;Tatiana;Yulia;Svetlana;Irina;Ksenia;Margarita;Vera;Nadezhda;Lubov;Sofia;Viktoria;Marina;Oksana;Valeria;Galina;Larisa;Dina;Evgeniya;Zoya;Kira;Lyudmila;Nina;Raisa;Tamara;Ulyana;Valentina;Veronika;Yana;Alisa;Milana
RUS,M,LastName,Ivanov;Smirnov;Kuznetsov;Popov;Sokolov;Lebedev;Kozlov;Novikov;Morozov;Petrov;Volkov;Solovyov;Vasilyev;Zaitsev;Pavlov;Semyonov;Golubev;Vinogradov;Bogdanov;Vorobyov;Fedorov;Mikhailov;Belyaev;Tarasov;Belov;Komarov;Orlov;Kiselev;Makarov;Andreev;Kovalev;Ilyin;Gusev;Titov;Kuzmin;Kudryavtsev;Baranov;Kulikov;Alekseev;Stepanov
RUS,F,LastName,Ivanova;Smirnova;Kuznetsova;Popova;Sokolova;Lebedeva;Kozlova;Novikova;Morozova;Petrova;Volkova;Solovyova;Vasilyeva;Zaitseva;Pavlova;Semyonova;Golubeva;Vinogradova;Bogdanova;Vorobyova;Fedorova;Mikhailova;Belyaeva;Tarasova;Belova;Komarova;Orlova;Kiseleva;Makarova;Andreeva;Kovaleva;Ilyina;Guseva;Titova;Kuzmina;Kudryavtseva;Baranova;Kulikova;Alekseeva;Stepanova
